id,name,host_id,host_name,room_type,price,minimum_nights,availability_365,,
5714531,Home sweet home,28965305,Wei,39.80124,116.505,Private room,127,1,364
5740388,Cozy Sofa Bed at Dongzhimen,14661026,Ian,39.94179,116.42855,Shared room,87,2,73
5741741,Superb bedroom at Dongzhimen,14661026,Ian,39.94006,116.42439,Private room,201,2,87
5741800,"Cozy Courtyard in Houshayu, 后沙峪",29770416,Dong,40.09542,116.51659,Private room,201,1,362
5768441,Sugar Youth Hostel,11528702,Sharle,39.92886,116.43124,Shared room,87,1,347
5777349,设计师风格三环大房,19076299,Jingjing,39.89112,116.29944,Entire home/apt,591,1,0
5777362,Cozy Studio Near CBD & Airport,15874316,Jade,39.90869,116.57899,Entire home/apt,336,1,365
5778638,Comfortable bedroom near798art area,27439769,Milan,40.00885,116.53039,Private room,181,2,365
5828761,Hopson International Park -3rd Ring,30255560,Lily,39.899,116.45695,Private room,228,3,88
5839731,北京王府井后海东四地铁站附近精品房间出租,30320328,姜,39.92376,116.42088,Entire home/apt,597,1,356
